UserId,BeatId
d839ae43-4afd-459f-9b8f-c8835c112613,2
d839ae43-4afd-459f-9b8f-c8835c112613,1003
559f0931-a3b3-45c1-b316-2f213be004e6,2008
559f0931-a3b3-45c1-b316-2f213be004e6,1016
559f0931-a3b3-45c1-b316-2f213be004e6,1011
559f0931-a3b3-45c1-b316-2f213be004e6,2009
c59f0317-e7d2-4fb6-ba2c-e43d83a4aa8f,1003
b4cd8e5c-71cb-4efd-bc06-eb9fb640164b,2009
00ac8e7b-ee66-4c2c-8bc5-b0e0cd02ece8,2009
525e5b5f-e2e5-4def-8c33-68bc2fbd7ffa,2010
ed6c32c3-4a16-4f55-bb42-6978d0796eaf,2009
559f0931-a3b3-45c1-b316-2f213be004e6,1019
559f0931-a3b3-45c1-b316-2f213be004e6,2007
559f0931-a3b3-45c1-b316-2f213be004e6,1021
00ac8e7b-ee66-4c2c-8bc5-b0e0cd02ece8,2013
00ac8e7b-ee66-4c2c-8bc5-b0e0cd02ece8,1017
00ac8e7b-ee66-4c2c-8bc5-b0e0cd02ece8,2006
00ac8e7b-ee66-4c2c-8bc5-b0e0cd02ece8,1003
00ac8e7b-ee66-4c2c-8bc5-b0e0cd02ece8,2
00ac8e7b-ee66-4c2c-8bc5-b0e0cd02ece8,1014
00ac8e7b-ee66-4c2c-8bc5-b0e0cd02ece8,2004
559f0931-a3b3-45c1-b316-2f213be004e6,1008
559f0931-a3b3-45c1-b316-2f213be004e6,2011
559f0931-a3b3-45c1-b316-2f213be004e6,1023
ed6c32c3-4a16-4f55-bb42-6978d0796eaf,1014
ed6c32c3-4a16-4f55-bb42-6978d0796eaf,1016
ed6c32c3-4a16-4f55-bb42-6978d0796eaf,1004
ed6c32c3-4a16-4f55-bb42-6978d0796eaf,2012
559f0931-a3b3-45c1-b316-2f213be004e6,2016
ed6c32c3-4a16-4f55-bb42-6978d0796eaf,1009
559f0931-a3b3-45c1-b316-2f213be004e6,2005
559f0931-a3b3-45c1-b316-2f213be004e6,2010
559f0931-a3b3-45c1-b316-2f213be004e6,2006
559f0931-a3b3-45c1-b316-2f213be004e6,2017
559f0931-a3b3-45c1-b316-2f213be004e6,2012
ed6c32c3-4a16-4f55-bb42-6978d0796eaf,2026
ed6c32c3-4a16-4f55-bb42-6978d0796eaf,2024
ed6c32c3-4a16-4f55-bb42-6978d0796eaf,2022
00ac8e7b-ee66-4c2c-8bc5-b0e0cd02ece8,2026
00ac8e7b-ee66-4c2c-8bc5-b0e0cd02ece8,2024
00ac8e7b-ee66-4c2c-8bc5-b0e0cd02ece8,2022
ed6c32c3-4a16-4f55-bb42-6978d0796eaf,2016
ed6c32c3-4a16-4f55-bb42-6978d0796eaf,2017
ed6c32c3-4a16-4f55-bb42-6978d0796eaf,2023
559f0931-a3b3-45c1-b316-2f213be004e6,2023
559f0931-a3b3-45c1-b316-2f213be004e6,2025
23cc2acd-ef91-448f-8d9a-2818d59f5e2f,2032
23cc2acd-ef91-448f-8d9a-2818d59f5e2f,2030
23cc2acd-ef91-448f-8d9a-2818d59f5e2f,2029
559f0931-a3b3-45c1-b316-2f213be004e6,2024
559f0931-a3b3-45c1-b316-2f213be004e6,2
559f0931-a3b3-45c1-b316-2f213be004e6,2026
ed6c32c3-4a16-4f55-bb42-6978d0796eaf,2029
ed6c32c3-4a16-4f55-bb42-6978d0796eaf,2031
ed6c32c3-4a16-4f55-bb42-6978d0796eaf,2018
ed6c32c3-4a16-4f55-bb42-6978d0796eaf,2030
ed6c32c3-4a16-4f55-bb42-6978d0796eaf,2032
